T_Rank,O_Rank,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,points
4,4,90.0,9.0,3.0,6.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,19.0,6.0,31.6,34.4,12.0,33.3,27.8,17.0,0.0,0.0,3.0
4,3,90.0,7.0,2.0,5.0,85.7,0.0,2.1,1.0,1.0,0.0,0.0,8.0,12.0,66.7,35.0,4.0,28.6,33.0,8.0,25.0,27.3,9.0,2.0,22.2,2.0
4,1,90.0,3.0,1.0,2.0,66.7,0.0,1.7,0.0,0.0,0.0,0.0,1.0,8.0,12.5,17.0,3.0,47.1,33.9,7.0,0.0,15.3,16.0,2.0,12.5,2.0
4,3,90.0,4.0,1.0,3.0,75.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,5.0,20.0,28.0,4.0,14.3,23.4,11.0,9.1,16.9,16.0,1.0,6.3,3.0
4,2,90.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,28.6,30.0,8.0,33.3,31.9,10.0,40.0,36.0,17.0,2.0,11.8,6.0
4,3,90.0,3.0,0.0,3.0,100.0,1.0,0.5,0.0,0.0,0.0,0.0,4.0,10.0,40.0,27.0,5.0,29.6,33.2,8.0,25.0,26.5,14.0,1.0,7.1,7.0
4,4,90.0,3.0,2.0,1.0,33.3,0.0,0.9,0.0,0.0,0.0,0.0,1.0,2.0,50.0,19.0,3.0,10.5,23.0,11.0,0.0,18.3,18.0,0.0,0.0,1.0
4,1,90.0,2.0,1.0,1.0,50.0,0.0,0.6,0.0,0.0,0.0,0.0,3.0,4.0,75.0,15.0,4.0,26.7,27.9,5.0,0.0,19.0,14.0,0.0,0.0,2.0
4,1,90.0,4.0,2.0,2.0,50.0,0.0,2.1,0.0,0.0,0.0,0.0,4.0,6.0,66.7,16.0,9.0,18.8,24.9,5.0,60.0,39.4,10.0,0.0,0.0,1.0
1,3,90.0,5.0,1.0,4.0,80.0,0.0,1.3,0.0,0.0,0.0,0.0,8.0,23.0,34.8,31.0,5.0,41.9,36.5,11.0,90.9,59.5,20.0,3.0,15.0,3.0
1,4,90.0,10.0,1.0,9.0,90.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,9.0,0.0,28.0,5.0,25.0,28.7,7.0,28.6,31.1,13.0,1.0,7.7,5.0
1,3,90.0,6.0,0.0,6.0,100.0,1.0,1.4,0.0,0.0,0.0,0.0,6.0,16.0,37.5,28.0,4.0,32.1,31.4,9.0,77.8,52.6,20.0,1.0,5.0,8.0
1,1,90.0,3.0,1.0,2.0,66.7,0.0,0.7,0.0,0.0,0.0,0.0,4.0,5.0,80.0,33.0,6.0,15.2,26.0,6.0,0.0,19.0,7.0,1.0,14.3,2.0
1,4,90.0,9.0,2.0,7.0,77.8,0.0,3.0,0.0,0.0,0.0,0.0,3.0,11.0,27.3,50.0,12.0,22.0,27.9,5.0,0.0,16.4,11.0,0.0,0.0,3.0
