T_Rank,O_Rank,GA,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,points
4,4,0.0,78.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,2.0,0.0,1.0,4.0,0.0,24.0,32.0,75.0,1.0,1.0,5.0,1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,3,0.0,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,47.0,0.0,0.0,0.0,4.0,0.0,27.0,36.0,75.0,1.0,0.0,5.0,2.0
4,3,2.0,90.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,37.0,2.0,0.0,0.0,3.0,2.0,16.0,24.0,66.7,0.0,1.0,3.0,6.0
4,3,3.0,87.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.0,1.0,0.0,0.0,2.0,0.0,21.0,37.0,56.8,0.0,1.0,4.0,6.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,3,0.0,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,1.0,1.0,2.0,4.0,1.0,18.0,26.0,69.2,1.0,2.0,4.0,2.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,4,0.0,89.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,2.0,0.0,22.0,29.0,75.9,6.0,1.0,2.0,2.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,2,5.0,62.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,34.0,0.0,2.0,1.0,5.0,1.0,21.0,25.0,84.0,7.0,0.0,0.0,6.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1,1.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,3.0,0.0,13.0,21.0,61.9,1.0,2.0,3.0,2.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,2,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,1.0,1.0,1.0,2.0,0.0,24.0,34.0,70.6,4.0,3.0,8.0,2.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,4,3.0,90.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,3.0,1.0,24.0,33.0,72.7,2.0,0.0,4.0,9.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,4,3.0,90.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,62.0,2.0,0.0,1.0,4.0,0.0,37.0,48.0,77.1,6.0,4.0,7.0,4.0
4,1,0.0,77.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0,0.0,1.0,0.0,5.0,0.0,25.0,31.0,80.6,1.0,4.0,5.0,2.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,4,3.0,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,0.0,0.0,1.0,4.0,1.0,31.0,43.0,72.1,3.0,1.0,2.0,2.0
4,3,2.0,90.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,55.0,1.0,1.0,0.0,5.0,1.0,31.0,40.0,77.5,6.0,3.0,5.0,6.0
4,1,2.0,90.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,63.0,4.0,0.0,3.0,8.0,1.0,29.0,42.0,69.0,4.0,1.0,3.0,2.0
4,1,0.0,73.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,34.0,1.0,0.0,1.0,4.0,2.0,15.0,21.0,71.4,1.0,1.0,3.0,2.0
4,3,4.0,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,1.0,2.0,6.0,1.0,24.0,33.0,72.7,2.0,3.0,5.0,6.0
4,2,0.0,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,1.0,0.0,24.0,28.0,85.7,1.0,3.0,3.0,6.0
4,4,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,1.0,2.0,4.0,4.0,0.0,45.0,47.0,95.7,5.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,69.0,1.0,0.0,2.0,5.0,0.0,49.0,61.0,80.3,11.0,0.0,0.0,0.0
4,3,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,2.0,1.0,26.0,29.0,89.7,1.0,1.0,1.0,0.0
4,3,3.0,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,71.0,2.0,0.0,0.0,3.0,1.0,55.0,59.0,93.2,6.0,1.0,2.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,4.0,0.0,1.0,4.0,0.0,34.0,44.0,77.3,1.0,0.0,0.0,0.0
4,2,5.0,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,3.0,0.0,37.0,43.0,86.0,4.0,0.0,1.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1.0,90.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,71.0,0.0,0.0,0.0,3.0,0.0,56.0,65.0,86.2,5.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0,1.0,2.0,0.0,36.0,40.0,90.0,1.0,1.0,1.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,3.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,1.0,0.0,1.0,3.0,1.0,25.0,35.0,71.4,4.0,1.0,1.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,3.0,90.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,6.0,1.0,41.0,49.0,83.7,4.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0.0,90.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,64.0,0.0,1.0,0.0,4.0,1.0,50.0,56.0,89.3,5.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,3.0,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,51.0,2.0,2.0,2.0,3.0,1.0,35.0,39.0,89.7,4.0,1.0,1.0,0.0
4,3,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,0.0,1.0,4.0,0.0,50.0,63.0,79.4,4.0,0.0,1.0,0.0
